Player,#,S,POS,Week1_KRET,Week1_KCOV,Week1_PRET,Week1_PCOV,Week1_FGBLK,Week1_FGK,Week2_KRET,Week2_KCOV,Week2_PRET,Week2_PCOV,Week2_FGBLK,Week2_FGK,Week3_KRET,Week3_KCOV,Week3_PRET,Week3_PCOV,Week3_FGBLK,Week3_FGK
Mason Carrier,D48,ST,18,3,6,6,3,0,21,1,11,8,1,0,14,5,3,2,4,0
Alan Soukup,S80,LS,8,0,0,0,3,0,11,0,0,0,1,0,7,0,0,0,4,0
Za'Quan Bryan,D04,ST,10,0,0,7,0,3,5,0,0,5,0,0,9,0,0,5,0,4
Garrison Monroe,D23,ST,16,3,6,6,1,0,21,1,11,8,1,0,13,5,3,2,3,0
Matt Kingsbury,D49,ST,19,3,6,7,3,0,21,1,11,8,1,0,14,5,3,2,4,0
John Nestor,D17,ST,10,0,0,7,0,3,5,0,0,5,0,0,9,0,0,4,0,5
Joey Gerlach,D19,ST,18,3,6,6,3,0,20,1,11,7,1,0,14,5,3,2,4,0
Jaxon Howard,D01,ST,8,0,0,7,0,1,8,0,0,8,0,0,9,0,0,4,0,5
Kerry Brown,D14,ST,10,0,0,7,0,3,6,0,0,6,0,0,1,0,0,1,0,0
Derik LeCaptain,D35,ST,18,3,6,6,3,0,20,1,11,7,1,0,19,5,3,2,4,5
Emmanuel Karmo,D02,ST,6,0,6,0,0,0,9,0,9,0,0,0,3,0,3,0,0,0
Ashton Beers,78,ST,5,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
Tre Berry,22,ST,6,0,0,6,0,0,11,0,11,0,0,0,0,0,0,0,0,0
Greg Johnson,65,ST,5,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
Marcellus Marshall,74,ST,5,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
Jeff Roberson,D20,ST,6,0,6,0,0,0,12,0,11,1,0,0,8,5,3,0,0,0
Dylan Ray,73,ST,5,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
Jameson Geers,86,ST,11,3,0,0,3,0,8,0,0,0,0,0,12,5,0,0,4,3
Aidan Gousby,D07,ST,10,0,6,1,0,3,0,0,0,0,0,0,7,0,0,3,0,4
Tony Nelson,59,ST,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aluma Nkele,70,ST,5,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
Frank Bierman,44,ST,8,3,0,0,0,0,8,0,0,0,0,0,8,5,0,0,0,3
Anthony Smith,D00,ST,4,0,0,1,0,3,0,0,0,0,0,0,8,0,0,3,0,5
Jacob Simpson,88,ST,3,3,0,0,0,0,1,1,0,0,0,0,5,5,0,0,0,0
Koi Perich,D03,ST,13,3,0,7,0,3,7,0,0,7,0,0,15,5,0,5,0,5
Maverick Baranowski,D06,ST,7,0,0,1,3,3,0,0,0,0,0,0,13,0,0,4,4,5
Jalen Logan-Redding,D97,ST,3,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,1
Karter Menz,D11,ST,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Drew Biber,87,ST,3,3,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0
Rushawn Lawrence,D16,ST,1,0,0,0,0,1,1,0,0,0,1,0,6,0,0,2,0,4
Deven Eastern,D91,ST,4,0,0,1,0,3,0,0,0,0,0,0,6,0,0,2,0,4
Logan Loya,17,ST,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0
Kenric Lanier II,15,ST,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Devon Williams,D09,ST,6,0,0,3,3,0,0,0,0,0,0,0,12,0,0,3,4,5
Rhyland Kelly,D18,ST,16,3,6,6,1,0,14,1,11,2,0,0,2,0,2,0,0,0
Evan Redding,D22,ST,0,0,0,0,0,0,7,0,0,7,0,0,4,0,3,1,0,0
Nate Becker,D89,ST,0,0,0,0,0,0,12,0,0,1,1,0,5,0,0,1,0,1
Jai'Onte' McMillan,D24,ST,0,0,0,0,0,0,14,0,11,3,0,0,4,0,3,1,0,0
Jerome Williams,55,ST,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
Reese Tripp,76,ST,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Harrison Brun,D33,ST,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
Pierce Walsh,19,ST,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0
Brett Carroll,56,ST,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Simon Seidl,D27,ST,0,0,0,0,0,0,2,0,0,1,1,0,5,0,0,2,3,0
Ethan Stendel,D43,ST,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Naiim Parrish,D21,ST,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Jaylen Bowden,D05,ST,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Quentin Redding,81,ST,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Mike Gerald,D13,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
Darius Green,D12,ST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Cam Davis,23,ST,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
Tom Weston,S42,P,8,0,0,0,3,0,11,0,0,0,1,0,8,0,1,0,4,0
Brady Denaburg,S92,K,11,0,6,0,0,0,16,0,8,0,0,0,6,0,3,0,0,0
Daniel Jackson,S36,K,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0