Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started
DeShon Singleton,D08,*,SS,57,TRUE,36,TRUE,19,FALSE,56,TRUE,64,TRUE
Ceyair Wright,D01,,SCB,48,TRUE,37,TRUE,18,FALSE,52,TRUE,61,TRUE
Andrew Marshall,D10,*,RCB,49,TRUE,33,TRUE,23,TRUE,36,TRUE,72,TRUE
Donovan Jones,D37,,LCB,29,TRUE,26,TRUE,23,TRUE,53,TRUE,68,TRUE
Javin Wright,D00,*,MLB,48,TRUE,28,TRUE,0,FALSE,47,TRUE,61,TRUE
Williams Nwaneri,D96,,DRE,38,TRUE,26,TRUE,17,FALSE,44,TRUE,52,TRUE
Vincent Shavers Jr.,D09,*,MLB,29,TRUE,25,TRUE,23,TRUE,40,TRUE,56,TRUE
Dasan McCullough,D15,*,ROLB,37,TRUE,26,TRUE,18,FALSE,30,TRUE,48,TRUE
Rex Guthrie,D21,,FS,8,FALSE,13,FALSE,38,TRUE,39,TRUE,59,TRUE
Cameron Lenhardt,D11,*,DLE,38,TRUE,19,FALSE,18,FALSE,39,TRUE,32,TRUE
Marques Buford Jr.,D03,,SS,49,TRUE,29,TRUE,18,FALSE,22,TRUE,22,TRUE
Elijah Jeudy,D16,,DRT,32,TRUE,19,FALSE,12,FALSE,33,TRUE,42,TRUE
Riley Van Poppel,D05,,NT,20,FALSE,15,FALSE,14,FALSE,34,TRUE,40,TRUE
Keona Davis,D97,,DRT,32,TRUE,15,FALSE,8,FALSE,30,TRUE,23,TRUE
Marques Watson-Trent,D33,*,WLB,25,TRUE,17,FALSE,21,TRUE,29,TRUE,0,FALSE
Kade Pietrzak,D93,,DRE,1,FALSE,24,TRUE,19,FALSE,15,FALSE,22,TRUE
Jamir Conn,D13,,SCB,1,FALSE,39,TRUE,32,TRUE,3,FALSE,4,FALSE
Dawson Merritt,D40,,WLB,4,FALSE,28,TRUE,27,TRUE,3,FALSE,16,FALSE
Malcolm Hartzog Jr.,D07,*,SS,50,TRUE,24,TRUE,0,FALSE,0,FALSE,0,FALSE
Willis McGahee IV,D17,,LOLB,8,FALSE,22,TRUE,23,TRUE,0,FALSE,14,FALSE
Caleb Benning,D28,,FS,0,FALSE,27,TRUE,27,TRUE,0,FALSE,0,FALSE
Gabe Moore,D95,,DRT,0,FALSE,13,FALSE,7,FALSE,11,FALSE,15,FALSE
Jaylen George,D90,,DLE,18,FALSE,9,FALSE,11,FALSE,0,FALSE,0,FALSE
Jeremiah Charles,D25,,RCB,0,FALSE,7,FALSE,27,TRUE,0,FALSE,0,FALSE
Justyn Rhett,D12,,SS,0,FALSE,17,FALSE,0,FALSE,0,FALSE,14,FALSE
Michael Booker III,D43,,MLB,0,FALSE,2,FALSE,23,TRUE,0,FALSE,0,FALSE
Sua Lefotu,D92,,DLT,0,FALSE,10,FALSE,14,FALSE,0,FALSE,0,FALSE
Jordan Ochoa,D94,,ROLB,6,FALSE,8,FALSE,9,FALSE,0,FALSE,0,FALSE
Amare Sanders,D14,,LCB,0,FALSE,0,FALSE,22,TRUE,0,FALSE,0,FALSE
David Hoffken,D53,,DLT,0,FALSE,5,FALSE,8,FALSE,0,FALSE,7,FALSE
Mason Goldman,D86,,DRE,0,FALSE,9,FALSE,9,FALSE,0,FALSE,0,FALSE
Larry Tarver Jr.,D18,,RCB,0,FALSE,16,FALSE,0,FALSE,0,FALSE,0,FALSE
Maverick Noonan,D22,,DLE,0,FALSE,8,FALSE,6,FALSE,0,FALSE,0,FALSE
Ashton Murphy,D57,,DLT,0,FALSE,6,FALSE,8,FALSE,0,FALSE,0,FALSE
Dylan Parrott,D99,,DRT,0,FALSE,6,FALSE,8,FALSE,0,FALSE,0,FALSE
Kahmir Prescott,D19,,LCB,0,FALSE,13,FALSE,0,FALSE,0,FALSE,0,FALSE
Jacob Bower,D54,,WLB,0,FALSE,9,FALSE,0,FALSE,0,FALSE,0,FALSE
Landen Davidson,D69,,DLT,0,FALSE,5,FALSE,3,FALSE,0,FALSE,0,FALSE
Christian Jones,D50,,WLB,0,FALSE,3,FALSE,3,FALSE,0,FALSE,0,FALSE
Dylan Rogers,D52,,ROLB,0,FALSE,4,FALSE,0,FALSE,0,FALSE,0,FALSE
Pierce Mooberry,D56,,WLB,0,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE
Derek Wacker,D42,,MLB,0,FALSE,2,FALSE,1,FALSE,0,FALSE,0,FALSE
Derek Branch,D24,,SS,0,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE
Roger Gradney,D45,,SS,0,FALSE,2,FALSE,0,FALSE,0,FALSE,0,FALSE
Ethan Duda,D55,,LOLB,0,FALSE,2,FALSE,0,FALSE,0,FALSE,0,FALSE
Rahmir Stewart,D59,,SS,0,FALSE,2,FALSE,0,FALSE,0,FALSE,0,FALSE
Connor Schutt,D46,,LOLB,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE