Player,#,S,POS,TOT
Drake Lindsey,5,*,QB,26
Pierce Walsh,19,,TE-R,16
A.J. Turner,2,,HB,10
Max Shikenjanski,6,,QB,25
Nathan Roy,50,*,LT,31
Fame Ijeboi,7,,HB,12
Grant Washington,21,,HB,27
Greg Johnson,65,*,LG,26
Cam Davis,23,,HB,7
Brett Carroll,56,,C,38
Javon Tracy,11,,LWR,17
Koi Perich,D03,*,RWR,4
Kahlee Tafai,71,,LT,33
Julian Johnson,82,,TE-R,28
Jameson Geers,86,,TE-R,17
Tony Nelson,59,,LG,38
Drew Biber,87,,TE-R,8
Frank Bierman,44,*,TE-L,8
Xavier Ford,31,,HB,4
Darius Taylor,1,*,HB,4
Kenric Lanier II,15,,LWR,39
Ashton Beers,78,*,C,26
Jaden Ball,58,,RG,33
Aluma Nkele,70,,RT,33
Dylan Ray,73,*,RT,31
Jacob Simpson,88,,TE-R,29
Marcellus Marshall,74,*,RG,22
Donielle Hayes,18,,LWR,2
Le'Meke Brockington,00,*,RWR,19